nit_enmascarado,num_oblig_orig_enmascarado,num_oblig_enmascarado,fecha_var_rpta_alt
174712,879742,200600,202401
73109,747574,332768,202401
136864,869162,211180,202401
38888,155550,932556,202401
84425,488528,591814,202401
572019,269199,813812,202401
395258,94737,993036,202401
204442,487463,592879,202401
89452,202773,882463,202401
258929,464528,615814,202401
39132,703866,376476,202401
389474,1028668,51674,202401
111958,592724,487618,202401
100459,479291,601051,202401
137219,285888,797175,202401
424162,828591,251751,202401
18712,631643,448699,202401
3035,809299,271043,202401
272482,465283,615059,202401
596163,867313,213029,202401
219378,331128,749433,202401
563261,1023036,57306,202401
92678,507402,572940,202401
542692,672796,407546,202401
87475,628789,451553,202401
18238,948357,131985,202401
15629,237909,845069,202401
384059,313245,769891,202401
303210,473969,606373,202401
606067,508484,571858,202401
224673,237828,845150,202401
524447,62923,1042064,202401
419739,992071,88271,202401
17104,508984,571358,202401
245977,739539,340803,202401
274937,1049063,31279,202401
262717,812315,268027,202401
16395,110905,976903,202401
577294,648603,431739,202401
446688,224827,857984,202401
111108,1075262,5080,202401
514071,205025,880225,202401
535144,687846,392496,202401
24597,215942,866825,202401
34382,82090,1023156,202401
394941,235447,847439,202401
230101,828552,251790,202401
495097,816742,263600,202401
387274,952523,127819,202401
395634,561788,518554,202401
601495,624701,455641,202401
87004,557783,522559,202401
368360,745124,335218,202401
497704,359874,719988,202401
239583,1015510,64832,202401
319360,419745,660247,202401
550533,889959,190383,202401
133093,438117,642184,202401
548743,540864,539478,202401
258759,119970,967854,202401
412688,419748,660244,202401
114695,962179,118163,202401
487951,546734,533608,202401
171449,581736,498606,202401
22797,1066583,13759,202401
487792,1079113,1229,202401
190370,362050,717805,202401
580312,287729,795341,202401
633998,322231,760909,202401
428600,230262,852571,202401
187331,1007041,73301,202401
40643,1045478,34864,202401
611224,525172,555170,202401
322761,406339,673582,202401
221656,309233,773889,202401
572000,418103,661895,202401
66190,543854,536488,202401
520028,192782,895463,202401
285071,304706,778400,202401
530423,456837,623484,202401
103043,754483,325859,202401
511410,882362,197980,202401
542347,192163,896078,202401
550573,82678,1022574,202401
26532,743616,336726,202401
166426,961077,119265,202401
303089,388935,690923,202401
13961,442183,638125,202401
607720,680646,399696,202401
469058,816275,264067,202401
422388,777474,302868,202401
382371,44091,1060727,202401
499969,599392,480950,202401
199692,829622,250720,202401
150038,674326,406016,202401
295973,649924,430418,202401
338689,365353,714505,202401
231341,436019,644220,202401
258755,332364,748214,202401
396614,852195,228147,202401
556161,796596,283746,202401
460836,625988,454354,202401
506057,825305,255037,202401
314466,486512,593830,202401
356230,214200,868561,202401
190748,790540,289802,202401
263571,170597,917541,202401
560455,689330,391012,202401
490457,573168,507174,202401
599063,263832,819155,202401
155605,874344,205998,202401
344631,693222,387120,202401
302312,733319,347023,202401
280246,669447,410895,202401
157482,465045,615297,202401
161428,81611,1023636,202401
270032,603186,477156,202401
232996,779865,300477,202401
408602,962425,117917,202401
541292,353944,725921,202401
39177,35285,1069769,202401
292297,490698,589644,202401
280527,482128,598214,202401
197842,716575,363767,202401
282443,802348,277994,202401
379328,503033,577309,202401
577363,747271,333071,202401
86806,1039649,40693,202401
629445,102338,985432,202401
147388,499485,580857,202401
256800,1052423,27919,202401
379110,957851,122491,202401
132850,351517,729253,202401
512345,199685,888584,202401
84522,141866,946236,202401
564187,627364,452978,202401
183599,230110,852722,202401
309094,630184,450158,202401
316685,493157,587185,202401
337796,290522,792533,202401
312239,855543,224799,202401
281427,635899,444443,202401
289243,458555,621789,202401
48402,318647,764490,202401
341266,422231,657756,202401
356164,190128,898108,202401
527026,218137,864633,202401
8443,354094,725768,202401
585047,57759,1047208,202401
532686,467658,612684,202401
524999,944799,135543,202401
2560,406772,673153,202401
391498,17516,1005472,202401
229352,411081,668843,202401
25118,755932,324410,202401
566600,230027,852805,202401
152881,296375,786729,202401
332365,860975,219367,202401
491606,162592,925522,202401
471672,1047119,33223,202401
299091,457926,622412,202401
185685,464557,615785,202401
222991,439249,641056,202401
583376,391854,688050,202401
204878,982947,97395,202401
197842,43718,1061101,202401
94733,544744,535598,202401
127453,635492,444850,202401
448272,496784,583558,202401
392726,608013,472329,202401
75927,486827,593515,202401
407559,803417,276925,202401
271194,631758,448584,202401
528335,349141,731608,202401
138621,947113,133229,202401
169710,953375,126967,202401
147309,642194,438148,202401
178683,507580,572762,202401
1210,718377,361965,202401
145748,140791,947315,202401
123181,321850,761297,202401
627116,370972,708876,202401
391465,121568,966252,202401
400842,274201,808821,202401
486982,933887,146455,202401
249999,96161,991610,202401
303621,637273,443069,202401
342814,277060,805970,202401
78143,483019,597323,202401
558422,1020990,59352,202401
314898,667565,412777,202401
77613,831825,248517,202401
525833,1037311,43031,202401
145906,909269,171073,202401
115019,785770,294572,202401
471291,723083,357259,202401
272951,123373,964451,202401
532893,660007,420335,202401
615452,190094,898141,202401
97343,672152,408190,202401
199507,87483,1017785,202401
245911,948535,131807,202401
251654,825010,255332,202401
355695,360420,719442,202401
571229,790944,289398,202401
277571,686040,394302,202401
88719,701218,379124,202401
359725,367479,712384,202401
547963,1044318,36024,202401
473905,1022790,57552,202401
45715,633037,447305,202401
621996,528199,552143,202401
119264,880191,200151,202401
532578,593585,486757,202401
502866,138007,950092,202401
138043,573409,506933,202401
117401,874006,206336,202401
49226,910375,169967,202401
148746,383939,695916,202401
398742,874976,205366,202401
77049,893866,186476,202401
549788,331904,748662,202401
140053,1047914,32428,202401
217193,48049,1056777,202401
521018,698764,381578,202401
270493,438706,641601,202401
502023,405463,674461,202401
553243,1021172,59170,202401
565584,868720,211622,202401
547738,492443,587899,202401
289085,847326,233016,202401
335487,287660,795411,202401
371517,201310,886960,202401
268485,374802,705047,202401
199081,221483,861307,202401
220708,331063,749497,202401
15601,1032304,48038,202401
28805,992084,88258,202401
92560,281391,801657,202401
267667,1006260,74082,202401
118390,775377,304965,202401
487358,1077905,2437,202401
95031,256325,826660,202401
302826,823721,256621,202401
501493,870073,210269,202401
36687,655198,425144,202401
407851,755251,325091,202401
578807,483113,597229,202401
306687,756539,323803,202401
264996,983779,96563,202401
103685,555492,524850,202401
450573,1077124,3218,202401
537347,292168,790896,202401
53596,216953,865818,202401
446501,892484,187858,202401
162515,286364,796696,202401
247534,625745,454597,202401
494900,368957,710901,202401
454699,467560,612782,202401
223897,814699,265643,202401
457319,950696,129646,202401
146717,518605,561737,202401
143113,726077,354265,202401
436993,146704,941388,202401
137789,293506,789574,202401
571480,947919,132423,202401
544288,492199,588143,202401
192322,897043,183299,202401
143882,828031,252311,202401
46114,1024940,55402,202401
160569,410058,669865,202401
557709,300732,782383,202401
154604,444436,635894,202401
487504,115612,972206,202401
220029,800294,280048,202401
497738,946779,133563,202401
271801,553813,526529,202401
440262,592923,487419,202401
40353,591962,488380,202401
47371,333359,747219,202401
37406,278079,804959,202401
611002,165394,922724,202401
220775,591389,488953,202401
225915,893840,186502,202401
7492,469164,611178,202401
413000,251315,831683,202401
496510,695762,384580,202401
241475,494224,586118,202401
74316,330355,750350,202401
629942,876255,204087,202401
402044,1078187,2155,202401
219053,808725,271617,202401
59663,888016,192326,202401
150088,801277,279065,202401
10669,755012,325330,202401
74469,184074,904067,202401
377603,849169,231173,202401
283172,869104,211238,202401
622509,846838,233504,202401
356921,452536,627817,202401
251857,217952,864817,202401
574146,766386,313956,202401
179287,435793,644438,202401
494567,660456,419886,202401
575203,634567,445775,202401
501088,1010329,70013,202401
596699,144156,943947,202401
331497,59103,1045869,202401
307429,25896,1003952,202401
430433,118627,981492,202401
153636,92789,993255,202401
544834,55185,1053198,202401
305412,33059,875893,202401
475554,484395,595947,202401
15696,210964,871783,202401
340669,872188,208154,202401
266063,402036,677882,202401
43500,546201,534141,202401
320990,52199,1052749,202401
286151,1058364,21978,202401
514264,385586,694266,202401
536626,367021,712840,202401
555988,1062189,18153,202401
432157,731770,348572,202401
593514,1078834,1508,202401
575755,859021,221321,202401
180647,743477,336865,202401
279374,867293,213049,202401
461654,950159,130183,202401
456977,645664,434678,202401
204940,903031,177311,202401
298416,869774,210568,202401
486241,1005573,74769,202401
194371,392156,687744,202401
614085,195870,892386,202401
102428,816406,263936,202401
595087,781280,299062,202401
590439,815731,264611,202401
57566,846203,234139,202401
138067,1017665,62677,202401
22312,416186,663794,202401
468510,319125,764015,202401
162518,905036,175306,202401
355158,742171,338171,202401
75152,1061492,18850,202401
210659,807668,272674,202401
473642,174541,913570,202401
537524,228954,853878,202401
479853,622476,457866,202401
568092,649569,430773,202401
139713,419138,660851,202401
243262,737142,343200,202401
3263,947324,133018,202401
433393,731547,348795,202401
538543,844868,235474,202401
541906,1013170,67172,202401
379499,959118,121224,202401
574353,765333,315009,202401
254717,987368,92974,202401
38482,708451,371891,202401
225983,1067116,13226,202401
108685,134255,953779,202401
230537,800035,280307,202401
359173,42399,1062411,202401
260513,460926,619411,202401
242169,866621,213721,202401
158987,242578,840428,202401
164641,760299,320043,202401
258582,133696,954300,202401
24111,115857,971962,202401
307174,587630,492712,202401
34071,501084,579258,202401
216140,726984,353358,202401
216764,271643,811372,202401
538053,364198,715652,202401
287736,169205,918928,202401
577428,821354,258988,202401
212804,927869,152473,202401
151486,746229,334113,202401
241596,651103,429239,202401
170198,381595,698258,202401
323203,441530,638776,202401
530751,267931,815079,202401
624677,52146,1052803,202401
408945,980609,99733,202401
585542,689577,390765,202401
174652,947852,132490,202401
490146,748541,331801,202401
421020,1012821,67521,202401
17366,770705,309637,202401
195938,86298,1018963,202401
304058,471149,609193,202401
37808,276906,806121,202401
455531,764300,316042,202401
330745,750088,330254,202401
394746,1047667,32675,202401
176572,926342,154000,202401
338123,770719,309623,202401
151290,955836,124506,202401
39709,833160,247182,202401
74170,1021425,58917,202401
398677,1010569,69773,202401
520068,475400,604942,202401
614715,326945,756184,202401
553969,904727,175615,202401
111461,822797,257545,202401
413195,718705,361637,202401
208523,859469,220873,202401
504748,835984,244358,202401
445373,560061,520281,202401
596671,1036061,44281,202401
388928,364534,715317,202401
38856,707466,372876,202401
401738,632412,447930,202401
350558,535594,544748,202401
193245,196140,892117,202401
215539,949587,130755,202401
147003,749759,330583,202401
239283,837472,242870,202401
97075,333621,746958,202401
228291,991296,89046,202401
234506,754946,325396,202401
388245,1061353,18989,202401
31725,319902,763248,202401
303288,303949,779156,202401
304715,559914,520428,202401
405084,307180,775944,202401
41603,531974,548368,202401
23698,979885,100457,202401
197770,537499,542843,202401
252348,111946,975865,202401
165615,553106,527236,202401
175090,867070,213272,202401
586740,507101,573241,202401
227294,3556,1075229,202401
527029,6895,885569,202401
456352,709702,370640,202401
188959,607361,472981,202401
602795,289805,793255,202401
540407,312036,771111,202401
462522,235317,847564,202401
1082,493202,587140,202401
62878,330630,750079,202401
387317,374024,705831,202401
633702,639845,440497,202401
145061,319775,763375,202401
109570,690571,389771,202401
43500,546207,534135,202401
386575,284248,798807,202401
133423,210474,872268,202401
104025,410219,669704,202401
487432,867310,213032,202401
77162,832970,247372,202401
239386,424743,655236,202401
225855,505899,574443,202401
517682,239921,843104,202401
250775,970204,110138,202401
410252,372085,707767,202401
27245,786087,294255,202401
234290,1005717,74625,202401
475790,641138,439204,202401
301588,569156,511186,202401
185359,472213,608129,202401
400590,801351,278991,202401
220825,234284,848568,202401
577151,317299,765844,202401
596243,1034592,45750,202401
471334,869249,211093,202401
185720,400824,679086,202401
43437,546017,534325,202401
344189,192301,895940,202401
511946,773239,307103,202401
513546,851440,228902,202401
279385,308632,774489,202401
243240,432512,647571,202401
429488,1055253,25089,202401
515314,75512,1029550,202401
439965,135488,952604,202401
614082,668227,412115,202401
57630,258832,824158,202401
127531,725145,355197,202401
538443,567161,513181,202401
517731,637282,443060,202401
510619,651339,429003,202401
376203,730773,349569,202401
177789,748259,332083,202401
172951,397852,682049,202401
95308,325361,757772,202401
181283,108748,979047,202401
535400,892194,188148,202401
386590,223634,859164,202401
188885,606419,473923,202401
165072,647953,432389,202401
552509,806764,273578,202401
572432,155755,932345,202401
1186,555692,524650,202401
475109,59948,1045027,202401
263096,211315,871436,202401
599008,423078,656907,202401
159771,300636,782478,202401
98991,1007348,72994,202401
144486,432692,647395,202401
414457,292588,790480,202401
565229,1001223,79119,202401
471403,795794,284548,202401
254319,604270,476072,202401
223147,312785,770354,202401
569289,820975,259367,202401
74249,1041054,39288,202401
254112,992513,87829,202401
494974,48529,1056295,202401
579700,78856,1026290,202401
139542,817296,263046,202401
486662,364070,715779,202401
130752,838955,241387,202401
2185,271005,812004,202401
552921,876812,203530,202401
336929,563651,516691,202401
267125,325239,757890,202401
145216,817181,263161,202401
242680,824240,256102,202401
78367,392135,687765,202401
520501,177796,910320,202401
318086,806367,273975,202401
476892,641691,438651,202401
474787,551749,528593,202401
399124,272676,810342,202401
600313,77315,1027767,202401
594021,146280,941814,202401
261999,530268,550074,202401
433208,47402,1057422,202401
393316,35225,1069829,202401
192976,872021,208321,202401
79590,364697,715156,202401
268176,273351,809664,202401
121801,273767,809250,202401
518251,982406,97936,202401
118239,128325,959527,202401
59694,139145,948953,202401
504882,835560,244782,202401
427930,547474,532868,202401
265192,789839,290503,202401
170520,554716,525626,202401
440792,551890,528452,202401
416355,59053,1045921,202401
579695,858921,221421,202401
84085,300929,782187,202401
263808,1079264,1078,202401
417401,535480,544862,202401
434380,34525,1070514,202401
532479,789253,291089,202401
532663,594022,486320,202401
50962,742163,338179,202401
159924,714079,366263,202401
173979,103743,984029,202401
105755,499078,581264,202401
149727,597890,482452,202401
430497,538778,541564,202401
17514,256038,826946,202401
632217,757699,322643,202401
548842,104346,983425,202401
435240,78563,1026566,202401
560854,646998,433344,202401
178257,757551,322791,202401
401856,749052,331290,202401
159543,455626,624709,202401
462934,866970,213372,202401
514151,211994,870761,202401
435750,217224,865548,202401
508326,897273,183069,202401
519535,79011,1026140,202401
260240,238661,844340,202401
298479,594559,485783,202401
64855,123911,963920,202401
172406,1009461,70881,202401
96522,204770,880483,202401
454755,68201,1036838,202401
185554,123135,964688,202401
211814,806919,273423,202401
288087,330319,750383,202401
80929,417254,662741,202401
320052,972053,108289,202401
277387,888555,191787,202401
590804,205024,880226,202401
32332,467400,612942,202401
357679,718055,362287,202401
369509,185720,902426,202401
526633,1014186,66156,202401
555777,908834,171508,202401
127877,779348,300994,202401
103522,811006,269336,202401
365130,184676,903466,202401
129916,664703,415639,202401
237756,699918,380424,202401
518301,446822,633524,202401
344041,1033931,46411,202401
492311,975973,104369,202401
589220,773685,306657,202401
483549,534598,545744,202401
607199,673354,406988,202401
131764,951924,128418,202401
242360,709352,370990,202401
533181,661704,418638,202401
99118,90403,1014930,202401
100431,730486,349856,202401
62465,39059,1064545,202401
185699,105070,982705,202401
315966,4294,885101,202401
260018,707023,373319,202401
158382,650310,430032,202401
397715,1048162,32180,202401
9710,135400,952693,202401
504636,563415,516927,202401
401041,967487,112855,202401
70387,184139,904005,202401
447943,953482,126860,202401
129349,871310,209032,202401
464774,866126,214216,202401
214316,186317,901832,202401
318392,407476,672442,202401
547131,837819,242523,202401
570982,544222,536120,202401
165003,733202,347140,202401
13970,998561,81781,202401
182997,363673,716177,202401
356167,666474,413868,202401
306915,465760,614582,202401
243220,263689,819297,202401
61777,738099,342243,202401
270217,123365,964459,202401
471974,742719,337623,202401
107788,314253,768886,202401
265963,41951,1063154,202401
194564,724955,355387,202401
355901,652855,427487,202401
408527,188150,900016,202401
552702,963801,116541,202401
98760,490679,589663,202401
508235,866609,213733,202401
400340,382355,697498,202401
2066,308634,774487,202401
159081,199420,888847,202401
241475,494270,586072,202401
534941,1048263,32079,202401
18712,631730,448612,202401
582486,342020,738637,202401
338903,370415,709434,202401
625354,78775,1026365,202401
21017,793848,286494,202401
152511,519592,560750,202401
229531,304452,778655,202401
199170,309489,773639,202401
373477,962793,117549,202401
245214,593570,486772,202401
284845,1058849,21493,202401
405364,305447,777658,202401
141964,211548,871206,202401
201805,34132,1070902,202401
46868,825314,255028,202401
86329,827865,252477,202401
248674,463149,617193,202401
587767,520232,560110,202401
444129,728508,351834,202401
129358,938677,141665,202401
217492,840167,240175,202401
274172,704211,376131,202401
440385,590980,489362,202401
459913,471384,608958,202401
32963,647683,432659,202401
282401,776559,303783,202401
1549,456365,623959,202401
316577,505115,575227,202401
125189,252322,830685,202401
277504,236603,846329,202401
78624,803158,277184,202401
472530,279888,803157,202401
582797,190726,897513,202401
601381,542985,537357,202401
75409,437261,643030,202401
423500,335750,744833,202401
426589,942435,137907,202401
488886,326505,756629,202401
596857,665806,414536,202401
405579,715031,365311,202401
160660,1064745,15597,202401
294468,639127,441215,202401
631771,997502,82840,202401
499369,995816,84526,202401
60233,498439,581903,202401
231523,730648,349694,202401
236327,684110,396232,202401
542428,572057,508285,202401
267078,213115,869641,202401
280631,482029,598313,202401
116298,667051,413291,202401
167842,955397,124945,202401
204337,405817,674106,202401
144072,560438,519904,202401
271737,797685,282657,202401
8959,169526,918608,202401
505468,164669,923451,202401
138133,610163,470179,202401
253972,42152,1062951,202401
393367,609552,470790,202401
73731,209902,872833,202401
42823,628142,452200,202401
581070,869044,211298,202401
605778,211765,870989,202401
304916,209294,873436,202401
449704,751056,329286,202401
78652,83430,1021815,202401
380937,559094,521248,202401
418682,247887,835114,202401
39580,83553,1021690,202401
295616,655502,424840,202401
453379,307648,775474,202401
90895,417140,662856,202401
516015,141402,946699,202401
458068,394992,684919,202401
603076,624982,455360,202401
73105,687021,393321,202401
268187,192627,895618,202401
434814,746148,334194,202401
217237,351451,729317,202401
244220,556364,523978,202401
307532,25111,753531,202401
529134,20631,1010716,202401
127306,344,998317,202401
310844,14459,885759,202401
189101,297151,785950,202401
129071,489483,590859,202401
426906,53713,1051237,202401
434647,307743,775378,202401
290539,997231,83111,202401
371600,792711,287631,202401
609320,341743,738914,202401
388245,91286,996468,202401
531885,877903,202439,202401
137180,822237,258105,202401
74617,784632,295710,202401
76371,452832,627519,202401
523785,39421,1065674,202401
533548,271444,811568,202401
538757,1027887,52455,202401
269236,838677,241665,202401
572009,729462,350880,202401
73774,970575,109767,202401
103365,942325,138017,202401
157842,229504,853334,202401
277648,867956,212386,202401
568357,669160,411182,202401
467408,702655,377687,202401
39950,727377,352965,202401
496283,824968,255374,202401
459251,700110,380232,202401
614848,646190,434152,202401
391308,606094,474248,202401
261562,615286,465056,202401
23507,752868,327474,202401
593648,1072968,7374,202401
280521,313695,769443,202401
89193,421724,658261,202401
274564,811925,268417,202401
36097,478883,601459,202401
611855,1028385,51957,202401
136520,903898,176444,202401
621643,53450,1051501,202401
573224,821574,258768,202401
362342,976500,103842,202401
365355,1049095,31247,202401
489946,470317,610025,202401
592130,548174,532168,202401
152932,747884,332458,202401
241108,99340,988439,202401
632092,376481,703374,202401
388236,728359,351983,202401
463015,876323,204019,202401
311162,608203,472139,202401
147346,642539,437803,202401
211152,436677,643596,202401
494854,96223,991547,202401
164029,561023,519319,202401
509810,792041,288301,202401
240217,230373,852466,202401
178013,708500,371842,202401
187148,1044664,35678,202401
436748,994444,85898,202401
148128,876113,204229,202401
261019,648383,431959,202401
85521,623916,456426,202401
349049,460197,620143,202401
90492,643076,437266,202401
213210,1031387,48955,202401
14898,284546,798510,202401
99929,231935,850900,202401
626735,59655,1045321,202401
502314,944819,135523,202401
113621,563824,516518,202401
367436,713482,366860,202401
617502,335222,745361,202401
576898,687080,393262,202401
472057,867048,213294,202401
375155,886672,193670,202401
151553,549752,530590,202401
550418,992412,87930,202401
53441,660789,419553,202401
595594,198464,889799,202401
620715,62508,1042483,202401
519118,56433,1048515,202401
54191,868556,211786,202401
236623,404376,675546,202401
457727,447994,632359,202401
556325,868559,211783,202401
96145,932189,148153,202401
179284,251546,831453,202401
325414,249157,833845,202401
153637,563793,516549,202401
450174,673197,407145,202401
87220,983865,96477,202401
254618,135655,952433,202401
354480,367696,712166,202401
169638,438634,641675,202401
353121,905980,174362,202401
62885,738717,341625,202401
260411,999275,81067,202401
78261,933859,146483,202401
112487,243293,839710,202401
554086,410957,668966,202401
633613,684303,396039,202401
524240,160006,928095,202401
363360,296909,786192,202401
440162,849752,230590,202401
581469,304203,778903,202401
381511,193582,894667,202401
590441,181154,906978,202401
134875,1054802,25540,202401
522454,334689,745895,202401
145026,239940,843086,202401
325471,751859,328483,202401
330201,543477,536865,202401
265204,512357,567985,202401
567370,871895,208447,202401
548347,775522,304820,202401
1343,342105,738554,202401
407025,1071297,9045,202401
177488,630189,450153,202401
93567,488460,591882,202401
360524,838570,241772,202401
525612,879017,201325,202401
37406,96548,991224,202401
126104,292617,790451,202401
450178,931416,148926,202401
318494,364432,715419,202401
563297,734227,346115,202401
617571,418941,661052,202401
382813,458760,621583,202401
330074,623447,456895,202401
516047,546063,534279,202401
451792,576588,503754,202401
101785,726618,353724,202401
68146,792552,287790,202401
417982,144878,943221,202401
266816,987922,92420,202401
193692,402950,676972,202401
534756,336360,744222,202401
4220,626163,454179,202401
335546,965714,114628,202401
480873,357104,722761,202401
600365,496345,583997,202401
226301,115845,971974,202401
550461,981411,98931,202401
25906,952747,127595,202401
583831,890486,189856,202401
330612,645454,434888,202401
251644,833149,247193,202401
484749,122700,965118,202401
592704,966499,113843,202401
614578,500244,580098,202401
483042,981958,98384,202401
152073,317415,765729,202401
162451,547872,532470,202401
304763,568503,511839,202401
571573,544004,536338,202401
286067,672387,407955,202401
156529,175960,912137,202401
216364,655722,424620,202401
101091,272677,810341,202401
526933,87450,1017817,202401
345020,868542,211800,202401
319394,910061,170281,202401
309441,652764,427578,202401
18527,993973,86369,202401
502786,859783,220559,202401
86021,435307,644903,202401
580106,482901,597441,202401
509075,69061,1035985,202401
146251,561924,518418,202401
39003,698501,381841,202401
616961,290529,792525,202401
287511,678016,402326,202401
64906,43675,1061143,202401
30516,782776,297566,202401
210445,236226,846696,202401
188404,278713,804328,202401
418148,174325,913786,202401
420316,176460,911646,202401
559132,1029499,50843,202401
279794,848193,232149,202401
288585,1058388,21954,202401
148754,104808,982964,202401
146579,435042,645157,202401
501860,235314,847567,202401
1967,98539,989229,202401
398516,954583,125759,202401
33698,439248,641057,202401
569844,842323,238019,202401
341001,912478,167864,202401
264361,693007,387335,202401
333693,218322,864451,202401
251487,559366,520976,202401
75648,831502,248840,202401
314359,1060575,19767,202401
371916,968908,111434,202401
615973,265571,817426,202401
147456,445464,634861,202401
65943,778445,301897,202401
203142,494631,585711,202401
161012,217941,864827,202401
481097,787153,293189,202401
152286,1072627,7715,202401
543693,1013031,67311,202401
163,671097,409245,202401
125194,309016,774109,202401
520029,790692,289650,202401
551841,687023,393319,202401
241016,780220,300122,202401
127383,772021,308321,202401
615857,855622,224720,202401
121930,473813,606529,202401
522193,698951,381391,202401
80820,299839,783272,202401
4816,431912,648153,202401
60435,650165,430177,202401
305898,1067435,12907,202401
305989,800219,280123,202401
507391,762112,318230,202401
93565,685425,394917,202401
433020,979865,100477,202401
241570,189279,898941,202401
311247,27328,877462,202401
222950,5913,1074493,202401
567209,265679,817321,202401
13265,939204,141138,202401
34071,501116,579226,202401
511221,791956,288386,202401
615452,395033,684878,202401
589655,232691,850140,202401
532770,1022541,57801,202401
465525,111238,976568,202401
262091,824158,256184,202401
115531,439791,640513,202401
471821,541704,538638,202401
569380,822094,258248,202401
20197,626058,454284,202401
581045,957244,123098,202401
137360,1054784,25558,202401
534809,369428,710429,202401
342795,990027,90315,202401
426155,88651,1016648,202401
182155,596279,484063,202401
92744,424216,655770,202401
139109,971227,109115,202401
623657,681515,398827,202401
411459,767824,312518,202401
130960,234770,848098,202401
302060,129082,958768,202401
89204,372626,707227,202401
419309,965858,114484,202401
25232,624243,456099,202401
599485,125011,962813,202401
496514,384564,695293,202401
38289,428330,651668,202401
262149,963169,117173,202401
138404,737384,342958,202401
229627,517234,563108,202401
533913,364017,715831,202401
323086,400147,679760,202401
500096,533838,546504,202401
394725,201182,887088,202401
377532,130722,957129,202401
497656,65945,1039082,202401
470955,828773,251569,202401
250489,97762,990004,202401
50367,740114,340228,202401
576321,715943,364399,202401
525864,487400,592942,202401
68427,417440,662554,202401
458788,709364,370978,202401
168104,528990,551352,202401
26042,786778,293564,202401
625614,723721,356621,202401
327590,326589,756544,202401
3676,185234,902909,202401
596464,631725,448617,202401
508769,860083,220259,202401
605198,674508,405834,202401
48773,672705,407637,202401
125139,764019,316323,202401
70510,1008522,71820,202401
488418,874486,205856,202401
585035,370343,709506,202401
626373,210583,872164,202401
573348,726838,353504,202401
122416,1018798,61544,202401
454273,419435,660557,202401
269037,512872,567470,202401
558438,670516,409826,202401
399460,703835,376507,202401
273899,803197,277145,202401
193678,858476,221866,202401
176153,474093,606249,202401
437357,66906,1038122,202401
500489,246017,836976,202401
606299,779949,300393,202401
406915,755712,324630,202401
200597,792024,288318,202401
271287,562134,518208,202401
145252,202160,883078,202401
607910,786534,293808,202401
255567,715958,364384,202401
80277,404511,675410,202401
447906,777685,302657,202401
39487,833758,246584,202401
251528,825950,254392,202401
42960,868277,212065,202401
258946,347960,732771,202401
227594,796474,283868,202401
287337,1046381,33961,202401
